# Configuracion:
# Concentracion g/m^3_=_11700.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_136189.26567044322
# 
Resultados:
# tau_s_=_(1.75+/-0.21)e-07
# dphi_rad_=_6.43+/-0.02
# SAR_W/g_=_167.15+/-32.01
# Hc_kA/m_=_6.56+/-0.78
# Mr_A/m_=_185.23+/-40.20
# Suceptibilidad_a_M=0_=_0.0299+/-0.0043

Nombre_archivo	Time_m	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
135kHz_100dA_100Mss_NEd009.txt	11/06/2024 10:49:06	-45.8	104.83	5.89	38460.00	446.98	1.361779e+05	3.607454e+00	6.412270e+00	110.72	1.517008e-07	4406	1.904e-02
135kHz_100dA_100Mss_NEd010.txt	11/06/2024 10:49:07	-45.6	104.21	5.91	38460.00	439.72	1.361779e+05	3.554588e+00	6.412774e+00	109.53	1.522981e-07	4406	1.886e-02
135kHz_100dA_100Mss_NEd011.txt	11/06/2024 10:49:08	-45.4	105.02	5.93	38460.00	438.46	1.362089e+05	3.551049e+00	6.414550e+00	110.93	1.544099e-07	4405	1.887e-02
135kHz_100dA_100Mss_NEd012.txt	11/06/2024 10:49:09	-45.2	103.54	5.82	38460.00	438.72	1.362089e+05	3.550171e+00	6.410751e+00	107.72	1.498935e-07	4405	1.900e-02
135kHz_100dA_100Mss_NEd013.txt	11/06/2024 10:49:09	-45.2	104.40	5.81	38460.00	445.94	1.361779e+05	3.608840e+00	6.412446e+00	110.92	1.519073e-07	4406	1.917e-02
135kHz_100dA_100Mss_NEd014.txt	11/06/2024 10:49:10	-45.0	102.53	5.75	38460.00	436.84	1.361779e+05	3.542864e+00	6.409898e+00	106.75	1.488816e-07	4406	1.905e-02
135kHz_100dA_100Mss_NEd015.txt	11/06/2024 10:49:11	-44.7	102.45	5.66	38460.00	445.82	1.362089e+05	3.607520e+00	6.407661e+00	106.82	1.462275e-07	4405	1.933e-02
135kHz_100dA_100Mss_NEd016.txt	11/06/2024 10:49:11	-44.7	101.96	5.70	38460.00	435.96	1.362089e+05	3.536489e+00	6.409661e+00	106.39	1.486037e-07	4405	1.906e-02
135kHz_100dA_100Mss_NEd017.txt	11/06/2024 10:49:12	-44.4	101.30	5.61	38460.00	442.02	1.361779e+05	3.578178e+00	6.405972e+00	104.50	1.442219e-07	4406	1.931e-02
135kHz_100dA_100Mss_NEd018.txt	11/06/2024 10:49:12	-44.4	100.80	5.62	38460.00	435.81	1.361779e+05	3.534790e+00	6.406293e+00	103.50	1.446001e-07	4406	1.924e-02
135kHz_100dA_100Mss_NEd019.txt	11/06/2024 10:49:14	-43.8	99.96	5.57	38460.00	437.18	1.361779e+05	3.546423e+00	6.405770e+00	103.40	1.439828e-07	4406	1.919e-02
135kHz_100dA_100Mss_NEd020.txt	11/06/2024 10:49:14	-43.8	100.39	5.60	38460.00	433.86	1.361779e+05	3.525223e+00	6.406804e+00	103.64	1.452098e-07	4406	1.911e-02
135kHz_100dA_100Mss_NEd021.txt	11/06/2024 10:49:15	-43.6	99.38	5.51	38460.00	439.35	1.362089e+05	3.561060e+00	6.404410e+00	102.70	1.423703e-07	4405	1.915e-02
135kHz_100dA_100Mss_NEd022.txt	11/06/2024 10:49:15	-43.6	101.24	5.52	38460.00	448.85	1.361779e+05	3.637106e+00	6.405961e+00	106.21	1.442068e-07	4406	1.951e-02
135kHz_100dA_100Mss_NEd023.txt	11/06/2024 10:49:16	-43.2	98.72	5.45	38460.00	440.51	1.362089e+05	3.569222e+00	6.401913e+00	100.83	1.394085e-07	4405	1.931e-02
